   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
      0       1       1       1 ?             -1 Ss       0   0:03 /sbin/init splash
      0       2       0       0 ?             -1 S        0   0:00 [kthreadd]
      2       3       0       0 ?             -1 S        0   0:00 [pool_workqueue_release]
      2       4       0       0 ?             -1 I<       0   0:00 [kworker/R-rcu_g]
      2       5       0       0 ?             -1 I<       0   0:00 [kworker/R-rcu_p]
      2       6       0       0 ?             -1 I<       0   0:00 [kworker/R-slub_]
      2       7       0       0 ?             -1 I<       0   0:00 [kworker/R-netns]
      2       9       0       0 ?             -1 I<       0   0:00 [kworker/0:0H-events_highpri]
      2      12       0       0 ?             -1 I<       0   0:00 [kworker/R-mm_pe]
      2      13       0       0 ?             -1 I        0   0:00 [rcu_tasks_kthread]
      2      14       0       0 ?             -1 I        0   0:00 [rcu_tasks_rude_kthread]
      2      15       0       0 ?             -1 I        0   0:00 [rcu_tasks_trace_kthread]
      2      16       0       0 ?             -1 S        0   0:00 [ksoftirqd/0]
      2      17       0       0 ?             -1 I        0   0:33 [rcu_preempt]
      2      18       0       0 ?             -1 S        0   0:00 [migration/0]
      2      19       0       0 ?             -1 S        0   0:00 [idle_inject/0]
      2      20       0       0 ?             -1 S        0   0:00 [cpuhp/0]
      2      21       0       0 ?             -1 S        0   0:00 [cpuhp/2]
      2      22       0       0 ?             -1 S        0   0:00 [idle_inject/2]
      2      23       0       0 ?             -1 S        0   0:00 [migration/2]
      2      24       0       0 ?             -1 S        0   0:00 [ksoftirqd/2]
      2      26       0       0 ?             -1 I<       0   0:00 [kworker/2:0H-events_highpri]
      2      27       0       0 ?             -1 S        0   0:00 [cpuhp/4]
      2      28       0       0 ?             -1 S        0   0:00 [idle_inject/4]
      2      29       0       0 ?             -1 S        0   0:00 [migration/4]
      2      30       0       0 ?             -1 S        0   0:00 [ksoftirqd/4]
      2      32       0       0 ?             -1 I<       0   0:00 [kworker/4:0H-events_highpri]
      2      33       0       0 ?             -1 S        0   0:00 [cpuhp/6]
      2      34       0       0 ?             -1 S        0   0:00 [idle_inject/6]
      2      35       0       0 ?             -1 S        0   0:00 [migration/6]
      2      36       0       0 ?             -1 S        0   0:00 [ksoftirqd/6]
      2      38       0       0 ?             -1 I<       0   0:00 [kworker/6:0H-events_highpri]
      2      39       0       0 ?             -1 S        0   0:00 [cpuhp/8]
      2      40       0       0 ?             -1 S        0   0:00 [idle_inject/8]
      2      41       0       0 ?             -1 S        0   0:04 [migration/8]
      2      42       0       0 ?             -1 S        0   0:00 [ksoftirqd/8]
      2      44       0       0 ?             -1 I<       0   0:00 [kworker/8:0H-events_highpri]
      2      45       0       0 ?             -1 S        0   0:00 [cpuhp/9]
      2      46       0       0 ?             -1 S        0   0:00 [idle_inject/9]
      2      47       0       0 ?             -1 S        0   0:03 [migration/9]
      2      48       0       0 ?             -1 S        0   0:00 [ksoftirqd/9]
      2      50       0       0 ?             -1 I<       0   0:00 [kworker/9:0H-events_highpri]
      2      51       0       0 ?             -1 S        0   0:00 [cpuhp/10]
      2      52       0       0 ?             -1 S        0   0:00 [idle_inject/10]
      2      53       0       0 ?             -1 S        0   0:02 [migration/10]
      2      54       0       0 ?             -1 S        0   0:00 [ksoftirqd/10]
      2      56       0       0 ?             -1 I<       0   0:00 [kworker/10:0H-events_highpri]
      2      57       0       0 ?             -1 S        0   0:00 [cpuhp/11]
      2      58       0       0 ?             -1 S        0   0:00 [idle_inject/11]
      2      59       0       0 ?             -1 S        0   0:01 [migration/11]
      2      60       0       0 ?             -1 S        0   0:00 [ksoftirqd/11]
      2      62       0       0 ?             -1 I<       0   0:00 [kworker/11:0H-events_highpri]
      2      63       0       0 ?             -1 S        0   0:00 [cpuhp/12]
      2      64       0       0 ?             -1 S        0   0:00 [idle_inject/12]
      2      65       0       0 ?             -1 S        0   0:01 [migration/12]
      2      66       0       0 ?             -1 S        0   0:00 [ksoftirqd/12]
      2      68       0       0 ?             -1 I<       0   0:00 [kworker/12:0H-events_highpri]
      2      69       0       0 ?             -1 S        0   0:00 [cpuhp/13]
      2      70       0       0 ?             -1 S        0   0:00 [idle_inject/13]
      2      71       0       0 ?             -1 S        0   0:01 [migration/13]
      2      72       0       0 ?             -1 S        0   0:00 [ksoftirqd/13]
      2      74       0       0 ?             -1 I<       0   0:00 [kworker/13:0H-events_highpri]
      2      75       0       0 ?             -1 S        0   0:00 [cpuhp/14]
      2      76       0       0 ?             -1 S        0   0:00 [idle_inject/14]
      2      77       0       0 ?             -1 S        0   0:01 [migration/14]
      2      78       0       0 ?             -1 S        0   0:00 [ksoftirqd/14]
      2      80       0       0 ?             -1 I<       0   0:00 [kworker/14:0H-events_highpri]
      2      81       0       0 ?             -1 S        0   0:00 [cpuhp/15]
      2      82       0       0 ?             -1 S        0   0:00 [idle_inject/15]
      2      83       0       0 ?             -1 S        0   0:01 [migration/15]
      2      84       0       0 ?             -1 S        0   0:00 [ksoftirqd/15]
      2      86       0       0 ?             -1 I<       0   0:00 [kworker/15:0H-events_highpri]
      2      87       0       0 ?             -1 S        0   0:00 [cpuhp/1]
      2      88       0       0 ?             -1 S        0   0:00 [idle_inject/1]
      2      89       0       0 ?             -1 S        0   0:00 [migration/1]
      2      90       0       0 ?             -1 S        0   0:00 [ksoftirqd/1]
      2      92       0       0 ?             -1 I<       0   0:00 [kworker/1:0H-events_highpri]
      2      93       0       0 ?             -1 S        0   0:00 [cpuhp/3]
      2      94       0       0 ?             -1 S        0   0:00 [idle_inject/3]
      2      95       0       0 ?             -1 S        0   0:00 [migration/3]
      2      96       0       0 ?             -1 S        0   0:00 [ksoftirqd/3]
      2      98       0       0 ?             -1 I<       0   0:00 [kworker/3:0H-events_highpri]
      2      99       0       0 ?             -1 S        0   0:00 [cpuhp/5]
      2     100       0       0 ?             -1 S        0   0:00 [idle_inject/5]
